Date,Open,High,Low,Close,Adj Close,Volume
2005-12-07,14.040000,14.150000,14.000000,14.050000,12.694315,975450
2005-12-08,14.160000,14.280000,14.050000,14.180000,12.811771,1368365
2005-12-09,14.290000,14.340000,14.170000,14.200000,12.829840,1369180
2005-12-12,14.220000,14.320000,13.820000,13.960000,12.613000,1313620
2005-12-13,13.980000,14.150000,13.830000,14.020000,12.667209,1556415
2005-12-14,15.430000,15.430000,13.970000,14.070000,12.712384,2787035
2005-12-15,14.200000,14.380000,14.050000,14.060000,12.703350,1392700
2005-12-16,13.600000,14.090000,13.200000,13.960000,12.613000,5008815
2005-12-19,13.800000,14.200000,13.700000,13.780000,12.450366,1711730
2005-12-20,13.780000,13.960000,13.620000,13.810000,12.477472,918695
2005-12-21,13.880000,14.000000,13.770000,13.860000,12.522647,1509865
2005-12-22,13.600000,13.860000,13.500000,13.570000,12.260628,746380
2005-12-23,13.640000,13.750000,13.610000,13.670000,12.350979,689045
2005-12-26,13.600000,13.700000,13.270000,13.400000,12.107032,637870
2005-12-27,13.550000,13.940000,13.400000,13.760000,12.432297,550645
2005-12-28,13.700000,13.850000,13.650000,13.770000,12.441332,474860
2005-12-29,13.780000,14.030000,13.620000,13.990000,12.640105,1532600
2005-12-30,13.800000,14.100000,13.630000,13.680000,12.360015,447320
2006-01-02,13.800000,13.900000,13.640000,13.670000,12.350979,401370
2006-01-03,13.720000,14.240000,13.700000,13.900000,12.558786,1711690
2006-01-04,13.990000,14.000000,13.700000,13.790000,12.459402,771330
2006-01-05,13.980000,14.680000,13.750000,14.320000,12.938261,8755585
2006-01-06,14.300000,14.530000,13.950000,14.290000,12.911157,3368195
2006-01-09,14.400000,14.490000,13.700000,13.830000,12.495543,5025805
2006-01-10,13.900000,14.270000,13.600000,13.630000,12.314840,5471980
2006-01-12,13.750000,14.020000,13.600000,13.930000,12.585893,2526875
2006-01-13,14.050000,14.990000,14.000000,14.840000,13.408088,9678935
2006-01-16,14.980000,15.320000,14.630000,14.760000,13.335808,6238200
2006-01-17,14.800000,14.870000,14.400000,14.610000,13.200279,1887175
2006-01-18,14.500000,14.600000,14.220000,14.370000,12.983437,983055
2006-01-19,14.400000,14.800000,14.400000,14.460000,13.064754,1005755
2006-01-20,14.500000,14.640000,14.270000,14.330000,12.947295,1189050
